Contract_ID,Product_Type,Premium,Expense_Ratio,Loss_Ratio_Old,Loss_Ratio_New,CSM_Old,CSM_New
POL-00000,암보험,1090453.2804161632,0.12498351218645268,0.6092370839275897,0.9,289820.0228344949,-27243.352820034535
POL-00001,종신보험,1210153.489062532,0.13733733862562972,0.606075372958802,0.9,310510.00232519425,-45183.910610115076
POL-00002,건강보험,1781821.0898032705,0.12813333903281665,0.6604191950743664,0.9,376761.5541132789,-50128.5768152583
POL-00003,암보험,1010006.5790898382,0.10416512915558983,0.6966116322492755,0.9,201216.7816886706,-4206.8078499046505
POL-00004,암보험,1804474.527218257,0.10927901183917778,0.6502721308954724,0.9,433883.8380340623,-16743.740501552973
POL-00005,종신보험,632201.6464650373,0.11096640920154596,0.6051515225939305,0.9,179470.7109207998,-6932.981953026706
POL-00006,건강보험,1665197.6558129461,0.11289321268224224,0.6221218656077456,0.9,441252.2704572893,-21469.747534367565
POL-00007,건강보험,1771321.4495821046,0.1282701695975252,0.624479290641577,0.9,437960.18449923117,-50075.55779142034
POL-00008,암보험,772726.479256008,0.12519828899126967,0.633785712913695,0.9,186239.44365234938,-19471.385135499255
POL-00009,상해보험,1145519.7985583008,0.11015800191821044,0.6043603383586212,0.9,327024.89333817316,-11636.192311103287
POL-00010,암보험,748249.6619954834,0.10337774217278436,0.6904892700497915,0.9,154238.9384305767,-2527.3944390938073
POL-00011,암보험,1559906.1934913266,0.1085716102237359,0.6515563944721495,0.9,374177.81112001074,-13370.907876199248
POL-00012,암보험,1303021.6520924852,0.14921906563093015,0.6670930792954108,0.9,239349.25238740415,-64133.5082128631
POL-00013,암보험,1452985.0200624815,0.12342734748957361,0.6067172836895008,0.9,392095.8084802408,-34039.584962148874
POL-00014,종신보험,794730.4504343166,0.14336727523510562,0.6054115467803649,0.9,199653.11993828474,-34465.29418170449
POL-00015,건강보험,817618.7930786293,0.14243762333344218,0.6586467772040547,0.9,162637.13235704383,-34697.79837101449
POL-00016,종신보험,562245.9882648595,0.12557597787314367,0.6887296010504208,0.9,104405.94329339145,-14379.990955125857
POL-00017,종신보험,983101.3027935945,0.13533438542302717,0.6528482000959547,0.9,208237.97613065975,-34737.28034278903
POL-00018,종신보험,1339616.9920005123,0.10963760052063562,0.6877819172570071,0.9,271380.2562327275,-12910.69341955649
POL-00019,암보험,1786902.3709959933,0.1344198352463454,0.6810991273055239,0.9,329649.60321986536,-61504.885210986096
POL-00020,상해보험,1500391.171188021,0.11361922896316448,0.607585378579492,0.9,418302.1454108976,-20434.170894720206
POL-00021,건강보험,1153094.4850996272,0.14160310483770755,0.620195747438569,0.9,274668.42978462717,-47972.31075138222
POL-00022,상해보험,1929680.1715912067,0.1041862066554455,0.6657710669155342,0.9,443908.88780886086,-8078.03997719638
POL-00023,종신보험,1578867.8008637477,0.13865693364426387,0.6443501382550041,0.9,342603.14719338814,-61034.18781105476
POL-00024,종신보험,1895247.804293825,0.10499684532843098,0.629069981364692,0.9,504009.26279874775,-9470.260137104719
POL-00025,상해보험,1291381.9599082484,0.14405946184471544,0.6418633856047978,0.9,276455.37283222465,-56897.59418953134
POL-00026,상해보험,888356.4121897094,0.11521022590675019,0.6445199646270634,0.9,213445.22589488645,-13512.101715115587
POL-00027,상해보험,579240.029547083,0.13271966824152873,0.6910552250821596,0.9,102076.63599812465,-18952.541598993863
POL-00028,종신보험,1589127.2772257756,0.124375113931014,0.6103458283704952,0.9,421562.1866654221,-38735.15843326038
POL-00029,종신보험,681954.4970083012,0.11831515726311695,0.6279730746807615,0.9,173019.8811697992,-12490.103858996868
POL-00030,건강보험,954162.6924079508,0.1322720916591748,0.6537564816582714,0.9,204163.552581796,-30792.825867154424
